,X_IMAGE,Y_IMAGE,FLUX_RADIUS,FLUX_ISO,FLUXERR_ISO,FLAGS,A_IMAGE,B_IMAGE,THETA_IMAGE,XPEAK_IMAGE,YPEAK_IMAGE,ALPHAPEAK_J2000,DELTAPEAK_J2000,FLUX_PEAK,FLUXERR_PEAK
64,4519.9194,2546.459,91.219,-0.0014995361490346927,-6.489229831944765e-06,2,15.203,4.932,-77.21,4520,2548,266.8367291,-28.4165694,0.0007275830721482635,5.546175816562027e-05
65,4603.3247,2545.8716,-60.728,-0.0011814480235519328,-5.217346278579484e-06,2,12.394,5.001,-83.73,4605,2550,266.8353868,-28.4165416,0.0008315982413478196,7.3353796324227e-05
66,4499.7266,2690.4114,16.482,-0.001843227926221886,-6.511930493585666e-06,0,11.252,7.202,-84.26,4499,2694,266.8370606,-28.4145416,0.000964723527431488,6.765730358893052e-05
67,4432.6841,2522.9795,11.255,-7.066992220250339e-05,-1.6197786345678324e-06,0,3.557,1.755,69.26,4432,2522,266.8381188,-28.4169304,0.0005408776341937482,4.3674182961694896e-05
68,4341.5327,2634.1086,20.015,-0.0021548181374465895,-6.491757349827028e-06,3,12.57,8.43,76.84,4341,2631,266.8395557,-28.4154165,0.0010726823238655925,8.143912418745458e-05
69,4264.5444,2580.3125,20.033,-0.0008845774707047789,-3.7465585565977756e-06,0,7.214,4.201,61.17,4266,2582,266.8407401,-28.416097,0.0007718588458374143,7.354356057476252e-05
70,4585.0044,2608.1104,12.597,-0.0006163425465918966,-3.97588798282916e-06,0,6.862,5.05,75.44,4584,2609,266.8357184,-28.4157222,0.0008091789786703885,6.056290294509381e-05
71,4871.064,2939.0784,16.32,-0.059353691984886055,-1.3854787713109579e-05,3,19.447,10.386,3.94,4876,2937,266.8311074,-28.4111667,0.012607390992343426,9.122808842221275e-05
72,4405.6953,2588.6055,4.351,-7.085238392730971e-05,-1.8199998279981164e-06,0,3.322,2.372,33.3,4405,2589,266.8385451,-28.4159999,0.0006743655540049076,5.652225809171796e-05
73,4345.1714,2654.533,11.765,-0.0008926942497221362,-4.549098227874468e-06,3,10.356,5.349,38.89,4346,2656,266.8394767,-28.4150693,0.0010570328449830413,7.789889059495181e-05
74,4368.6714,2749.3313,19.771,-0.001353561024830814,-5.8654081301649015e-06,2,11.766,4.902,86.95,4369,2750,266.8391135,-28.4137637,0.0007910773856565356,5.958861220278777e-05
75,4313.5811,2662.8308,5.059,-0.00011740435450286676,-2.056863241933509e-06,0,4.45,2.177,49.98,4313,2663,266.8399979,-28.414972,0.000899159349501133,8.897177031030878e-05
76,4446.2139,2710.6204,12.983,-0.00014083434082855424,-2.0166078197285296e-06,0,3.949,2.451,-68.95,4446,2710,266.8378976,-28.4143193,0.0006161756464280188,5.756669997936115e-05
77,4483.7666,2770.3733,13.695,-0.0005005184129798824,-3.3539582639599224e-06,3,6.031,4.665,28.86,4483,2771,266.8373132,-28.4134721,0.0006517953588627279,6.39302670606412e-05
78,4861.2271,2890.2708,14.461,-0.0009953819746911967,-4.432247525119283e-06,3,10.449,4.87,56.77,4861,2893,266.8313442,-28.4117778,0.0010216570226475596,8.909522875910625e-05
79,4817.0029,2909.6189,2.421,-0.00025875161435290003,-2.931306619245067e-06,3,5.519,3.618,78.19,4817,2909,266.832039,-28.4115556,0.0009851939976215363,9.122808842221275e-05
80,4885.9473,2999.1467,16.395,-0.0024635471357628384,-7.122884831601285e-06,3,18.929,8.747,38.43,4850,2975,266.8315179,-28.4106389,0.0016363196773454547,9.122808842221275e-05
81,4841.4585,2999.9871,11.211,-0.001313873771934905,-5.965208531503583e-06,3,10.278,6.215,79.2,4843,2980,266.8316285,-28.4105694,0.0013488915283232927,9.122808842221275e-05
82,4838.3647,2963.3064,8.488,-0.0024302987868934376,-4.239365533407452e-06,3,7.892,5.13,55.63,4838,2964,266.8317074,-28.4107917,0.0024858438409864902,9.122808842221275e-05
83,3667.4995,3115.271,15.492,-0.0020417983998121223,-6.494279645564906e-06,3,10.626,8.209,65.37,3668,3114,266.8501822,-28.4087072,0.0006989124813117087,6.946799112483859e-05
84,4821.9219,3113.6978,10.202,-0.001185119713268914,-4.923034054266464e-06,0,6.806,5.297,-16.21,4823,3113,266.8319443,-28.4087222,0.0007155405473895371,6.848868360975757e-05
85,6726.2295,3440.8989,12.972,-0.0013017249752380125,-5.3538520883703325e-06,0,9.427,6.52,74.22,6728,3438,266.8018648,-28.404205,0.0004611066833604127,4.603253546520136e-05
86,4609.2363,4098.6069,12.16,-0.012505035720393068,-8.548070699956814e-06,3,20.842,6.825,19.58,4604,4097,266.835402,-28.3950555,0.004839079454541206,0.00020783404761459678
87,4671.938,4041.9436,9.416,-0.0059523986113275695,-4.483744657541508e-06,3,6.825,5.612,-12.46,4672,4042,266.8343284,-28.3958194,0.0044281561858952045,0.00020783404761459678
88,3770.4175,4243.3281,16.113,-0.016410463397895328,-1.0752024516134805e-05,3,16.317,12.391,-77.13,3773,4238,266.8485218,-28.3930963,0.0029372158460319042,0.00015604315558448434
89,5578.02,4370.8291,20.61,-0.01041213602670309,-1.2689701190129788e-05,3,19.057,14.679,36.31,5575,4370,266.8200719,-28.3912633,0.001851215143688023,0.000181660070666112
90,4730.2954,4579.71,16.381,-0.11602863278612445,-1.4158011526815329e-05,3,16.694,13.633,81.92,4738,4574,266.8332863,-28.3884306,0.024820610880851746,0.0002037436788668856
91,4413.8188,4453.9419,15.67,-0.006243292942140714,-8.455492524302366e-06,3,15.126,9.672,8.48,4412,4456,266.8384331,-28.3900693,0.0017322137719020247,0.00016793319082353264
92,4213.8857,4606.75,18.241,-0.010779482551310294,-8.019537466767131e-06,3,16.724,9.019,-81.83,4214,4608,266.8415588,-28.387958,0.0028586864937096834,0.00014762443606741726
93,4720.9795,4688.8438,11.333,-0.06970361660553255,-1.1060251144161232e-05,3,14.466,8.417,-86.49,4722,4687,266.8335389,-28.3868611,0.025395004078745842,0.00015730340965092182
94,4164.8311,4583.6074,20.925,-0.0038000855365423886,-7.023194095294683e-06,19,17.685,8.424,9.53,4192,4598,266.8419062,-28.3880969,0.0016040605260059237,0.0001241505960933864
95,4795.6367,4744.5088,9.572,-0.016132963867429302,-7.854256596986936e-06,3,11.868,6.595,-78.04,4796,4742,266.8323706,-28.3860972,0.00895286351442337,0.00016402288747485727
96,4716.6611,4771.3462,13.934,-0.12890586640325824,-1.0747444695509299e-05,3,12.61,10.841,17.86,4708,4769,266.8337599,-28.3857222,0.03527599573135376,0.00016402288747485727
97,4217.0,4591.0005,4.473,-0.0007166949285920567,-1.557852879809081e-06,3,4.005,1.767,73.48,4217,4591,266.8415115,-28.3881941,0.002546120434999466,0.00015503504255320877
98,5046.2588,4869.604,18.216,-0.02766189202584118,-1.266253559503985e-05,3,18.685,12.348,82.08,5047,4863,266.8284081,-28.3844166,0.0062668039463460445,0.00017138772818725556
99,4530.0054,4689.0273,26.963,-0.008444651352559437,-7.702469748297167e-06,3,16.759,12.388,-58.83,4531,4688,266.8365542,-28.3868472,0.0028215774800628424,0.00017719465540722013
100,4486.7505,4702.6396,41.855,-0.002500444719128366,-5.463000128157879e-06,3,12.121,5.22,4.99,4503,4712,266.8369962,-28.3865138,0.0024666094686836004,0.00018230204295832664
101,4732.6431,4645.6104,5.849,-0.0006518667059842111,-1.6794217900159704e-06,3,3.861,1.925,-80.13,4733,4646,266.8333652,-28.3874306,0.0018723428947851062,0.00015730340965092182
102,4659.562,4716.0059,12.319,-0.005253696581213481,-5.0804007642314334e-06,3,7.501,6.242,-86.1,4660,4715,266.8345177,-28.3864722,0.0031331905629485846,0.00017479760572314262
103,4571.7417,4702.2402,10.316,-0.004254552051493007,-4.331203731202569e-06,3,8.356,4.767,24.97,4571,4701,266.8359227,-28.3866666,0.002159856026992202,0.00018230204295832664
104,4758.896,4890.0283,13.885,-0.14417437215565423,-1.095747412052319e-05,3,21.092,10.715,24.34,4760,4886,266.8329389,-28.3840972,0.041374970227479935,0.00017223251052200794
105,4493.6206,4785.8555,13.22,-0.002404445516687409,-4.49834942874259e-06,3,14.576,3.478,-89.66,4499,4766,266.8370593,-28.3857638,0.005905892234295607,0.00018684062524698675
