,Unnamed: 0,cenx,ceny,ella,ellb,ellt,ellr,flx_iso,flx_err,collide,cenf_006,cenf_096,cene_006,cene_096
221,221,4996.9048,5910.3447,3.148,2.6239999999999997,-31.63,4.5489999999999995,0.7615673377093491,0.008935776658432766,-1,0.60340834,5.3831196,0.5889705,1.1403568
222,222,5087.9971,5932.7827,6.032,3.762,12.05,8.077,3.0812425536082046,0.015254510992421647,-1,0.19989887,7.955295,0.18721972,1.0008255
223,223,4370.5938,5925.2319,3.668,3.469,-22.43,6.401,1.2573605796200549,0.01153603839612544,-1,5.004605,3.8182445,5.004605,1.2773464
224,224,5204.1519,5931.2827,4.092,3.682,-78.01,6.042000000000001,1.7449165741348491,0.013225184558407956,-1,0.1364817,3.3653393,-0.060060326,1.0544825
225,225,4011.8149,6208.0288,22.489,9.221,-51.79,16.305,357.1030981156234,0.057897320473281236,-1,86.42766,139.85786,86.42766,1.1653647
226,226,3046.8911,5955.0703,6.091,2.938,89.08,19.757,1.960112224335866,0.013022367885553773,-1,8.369369,7.321467,8.369369,0.87741107
227,227,4737.2769,5979.4316,10.470999999999998,3.5469999999999997,-37.12,-56.688,14.845416101592868,0.01986650151215804,-1,19.813072,23.801329,19.813072,1.4965928
228,228,4381.7905,5960.396,4.88,3.932,-89.58,6.815,2.277995401241975,0.014565979796771544,166,8.213901,7.202081,8.213901,1.2773464
229,229,3159.3125,5971.8101,7.485,5.0089999999999995,-69.74,8.756999999999998,7.755186823917081,0.01860130677065,-1,13.580237,13.825503,13.580237,0.88060594
230,230,4619.188,5965.7612,4.354,3.835,-60.74,16.437,5.4004154061822245,0.013282554836672535,-1,24.580587,25.580904,24.580587,1.6767222
231,231,4583.0049,5948.231,2.793,1.9469999999999998,-82.65999999999998,9.945,1.2416834701965762,0.008272922396206249,-1,21.35917,17.636108,21.35917,1.7764202
232,232,4824.689,5997.6992,7.312,2.685,-62.33,7.541,3.4509812578345334,0.01367745212111915,-1,9.854106,13.944914,9.854106,1.3559253
233,233,4437.6382,5963.9946,5.362,3.327,19.03,8.649,2.7235832361484875,0.01559957608417045,-1,8.872912,9.656695,8.872912,1.6001905
234,234,4758.9487,5972.8047,5.898,3.64,-15.37,20.578000000000003,8.750989891406231,0.01615045375457562,-1,15.925237,22.017105,15.925237,1.4965928
235,235,4428.0376,6017.4912,8.886000000000001,3.615,55.41,1.999,3.6439861195454006,0.02085622227587344,-1,11.467281,11.50377,11.467281,1.556316
236,236,4321.2197,5971.5757,6.127000000000001,2.454,-47.35,7.152,0.8853920780547451,0.011133497598341894,-1,0.2534568,0.9666564,0.21340765,1.2773464
237,237,4534.1523,5968.4512,3.4339999999999997,2.443,-70.16,15.55,0.9913619226709616,0.008409673635451531,214,12.872183,11.436368,12.872183,1.7764202
238,238,5234.8052,6002.2119,5.131,4.585,-34.62,6.292999999999999,12.157473601713278,0.019712787823258027,216,7.1851788,10.9800005,7.1774607,1.0354086
239,239,4059.1475,6215.2324,15.325999999999999,10.499,81.54999999999998,15.934000000000001,127.6914795291338,0.04876426209992793,-1,51.42257,68.078316,51.42257,1.1660947
